Lon	Lat	Elevation	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
-107.47	40.03	2.377	-0.04	0.02	0.78	0.75	1.64	2.24	2.41	2.29	2.09	1.33	0.44	0.03
-105.18	38.75	2.901	0.05	0.09	0.69	0.53	1.29	1.95	2.27	2.02	1.83	1.16	0.29	0.02
-107.58	38.85	1.884	0.34	0.57	1.44	1.33	2.25	2.71	2.93	2.82	2.4	1.8	0.91	0.27
-104.65	41.15	1.833	0.23	0.41	1.15	0.96	1.88	2.4	2.91	2.56	2.26	1.62	0.7	0.38
-106.83	39.67	1.982	0.1	0.47	1.32	1.28	2.1	2.69	2.97	2.76	2.46	1.77	0.78	0.16
-107.294	40.108	3.152	-0.25	-0.07	0.58	0.47	1.21	1.71	1.96	1.79	1.44	0.82	-0.04	-0.33
-106.953	38.894	3.098	-0.38	-0.17	0.62	0.54	1.19	1.92	2.21	1.99	1.79	0.99	0.02	-0.26
-105.53	37.72	2.475	0.14	0.31	1.12	1.02	1.76	2.39	2.64	2.47	2.26	1.47	0.55	-0.15
-105	39.75	1.611	0.62	0.71	1.47	1.26	2.23	2.78	3.08	2.81	2.5	1.88	0.98	0.59
-107.65	41.03	1.903	-0.06	0.06	0.98	0.97	1.99	2.55	2.91	2.75	2.24	1.52	0.54	-0.06
-105.32	39.63	2.135	0.56	0.57	1.32	1.03	1.88	2.46	2.75	2.54	2.31	1.76	0.88	0.55
-103.7	39.18	1.695	0.43	0.52	1.43	1.12	2	2.59	3.01	2.64	2.44	1.63	0.68	0.19
-103.32	37.45	1.57	0.91	0.99	1.91	1.59	2.52	3.05	3.46	3.04	2.88	1.84	0.95	0.32
-108.8	40.08	1.61	-0.11	0.15	1.13	1.27	2.27	2.86	3.11	2.98	2.43	1.73	0.72	-0.07
-106.13	40.05	2.318	-0.26	0.04	0.78	0.88	1.68	2.3	2.7	2.47	2.23	1.5	0.54	-0.06
-104.7	40.42	1.418	0.24	0.6	1.62	1.4	2.34	2.86	3.24	2.93	2.68	1.87	0.89	0.51
-107.9	40.03	1.903	0.06	0.37	1.17	1.16	2.05	2.58	2.89	2.78	2.27	1.61	0.79	0.23
-106.158	39.718	2.866	-0.27	-0.01	0.73	0.63	1.34	2.06	2.23	2.04	1.78	0.98	0.1	-0.26
