strata sample lat long tcatch prerec recruits lgcatch
6260 148 39.93333 -73.28333 4 0 4 1.609438
6260 149 39.9 -73.35 139 29 110 4.941642
6270 150 39.98333 -73.35 0 0 0 0
6260 151 40.01667 -73.28333 5 2 3 1.791759
6260 152 40.03333 -73.36667 3 1 2 1.386294
6260 153 40 -73.45 21 6 15 3.091042
6270 154 40.05 -73.48333 0 0 0 0
6260 155 40.11667 -73.56667 14 9 5 2.70805
6250 156 40.15 -73.55 4 1 3 1.609438
6270 157 40.13333 -73.61667 0 0 0 0
6260 158 40.16667 -73.66667 1 0 1 0.6931472
6250 159 40.21667 -73.55 0 0 0 0
6290 160 40.15 -73.28333 9 0 9 2.302585
6300 161 39.98333 -73.05 13 1 12 2.639057
6270 162 39.9 -73.11667 3 0 3 1.386294
6310 163 39.85 -72.98333 3 0 3 1.386294
6300 164 39.9 -72.91667 114 33 81 4.744932
6300 165 39.85 -72.78333 471 202 269 6.156979
6310 166 39.98333 -72.58333 842 556 286 6.736967
6300 167 39.98333 -72.75 326 254 72 5.78996
6300 168 39.98333 -72.81667 52 23 29 3.970292
6300 170 40.1 -72.91667 22 3 19 3.135494
6300 171 40.18333 -72.85 21 10 11 3.091042
6300 172 40.1 -72.81667 26 4 22 3.295837
6310 173 40.06667 -72.51667 91 33 58 4.521789
6310 174 40.15 -72.55 70 44 26 4.26268
6310 175 40.18333 -72.45 35 1 34 3.583519
6310 176 40.21667 -72.51667 42 12 30 3.7612
6310 177 40.23333 -72.68333 42 11 31 3.7612
6300 178 40.31667 -72.61667 20 2 18 3.044522
6300 179 40.4 -72.68333 17 8 9 2.890372
6290 180 40.51667 -72.68333 25 6 19 3.258097
6290 181 40.55 -72.48333 19 8 11 2.995732
6290 182 40.45 -72.53333 20 11 9 3.044522
6300 183 40.46667 -72.46667 41 29 12 3.737670
6300 184 40.4 -72.41667 46 23 23 3.850148
6300 185 40.31667 -72.43333 30 2 28 3.433987
6310 186 40.31667 -72.35 21 8 13 3.091042
6310 187 40.23333 -72.35 37 6 31 3.637586
6310 188 40.18333 -72.3 290 210 80 5.673323
6310 189 40.23333 -72.18333 207 72 135 5.337538
6340 190 40.91667 -71.76667 297 128 169 5.697093
6340 191 40.86667 -71.8 46 7 39 3.850148
6330 192 40.86667 -71.85 23 7 16 3.178054
6330 193 40.9 -71.95 1 0 1 0.6931472
6330 194 40.85 -72.06667 9 0 9 2.302585
6330 195 40.81667 -72.18333 20 4 16 3.044522
6330 196 40.81667 -72.3 0 0 0 0
6330 197 40.81667 -72.38333 0 0 0 0
6330 198 40.78333 -72.35 33 31 2 3.526361
6330 199 40.66667 -72.38333 28 15 13 3.367296
6290 200 40.58333 -72.38333 159 126 33 5.075174
6340 201 40.61667 -72.31667 62 45 17 4.143135
6340 202 40.56667 -72.25 76 11 65 4.343805
6340 204 40.56667 -72.18333 106 20 86 4.672829
6350 205 40.53333 -72.18333 71 17 54 4.276666
6300 206 40.5 -72.31667 50 13 37 3.931826
6310 207 40.43333 -72.28333 68 14 54 4.234107
6310 208 40.35 -72.25 24 7 17 3.218876
6310 209 40.31667 -72.15 26 4 22 3.295837
6350 210 40.36667 -72.1 11 1 10 2.484907
6350 211 40.45 -71.96667 3 3 0 1.386294
6350 212 40.56667 -71.98333 26 5 21 3.295837
6340 213 40.6 -72.01667 34 7 27 3.555348
6340 214 40.6 -72.13333 75 32 43 4.330733
6340 215 40.65 -72.16667 143 87 56 4.969813
6340 216 40.65 -72.08333 62 25 37 4.143135
6340 217 40.7 -72.05 31 20 11 3.465736
6330 218 40.73333 -72.05 230 160 70 5.442418
6340 219 40.71667 -71.98333 8 1 7 2.197225
6340 220 40.66667 -71.83333 114 35 79 4.744932
6340 221 40.73333 -71.88333 8 3 5 2.197225
6330 222 40.76667 -71.91667 8 0 8 2.197225
6340 224 40.75 -71.83333 38 8 30 3.663562
