Common Well Name	Northing (ft)	Easting (ft)	Surf Elevation (ft amsl)	Thickness(ft)	A-B Elevation (ft amsl)	Thickness(ft)	B-C Elevation (ft amsl)	Thickness(ft)	C-D Elevation (ft amsl)	Thickness(ft)
M3S	670165	268700	5,016	5	4,989	3	4,910	15	4,792	3
M4D	667255	265510	5,023	8	5,015	0	4,914	29	4,787	28
M6S	666379	270722	5,066	7	5,059	0	4,900	10	4,746	18
M7S	671588	270921	5,005	9	4,996	0	4,908	6	4,782	0
M10S	668227	266882	5,022	6	5,016	0	4,910	24	4,789	27
VVE-1	669009	264964	5,011	8	4,980	6	4,917	22	4,792	>23
VVE-3	670163	268676	5,015	6	4,987	4	4,909	14	4,792	>10
VVE-4	667253	265486	5,022	8	5,000	15	4,916	31	4,787	>23
VVE-6A	666368	270684	5,066	4	5,062	0	4,903	14	NA	NA
VVE-7	671608	270919	5,004	14	4,990	0	4,887	11	4,784	>7
VVE-10	668241	266869	5,021	6	5,015	0	4,908	24	4,781	>18
1E	669475	268396	5,006	15	4,991	0	4,907	>7	NA	NA
1V	669619	268429	5,006	9	4,997	0	4,911	7	NA	NA
2E	669438	267553	5,008	15	4,979	3	4,912	>3	NA	NA
2V	668845	268259	5,006	7	4,999	0	4,910	9	4,767	>3
3E	669775	267147	5,012	5	5,007	0	4,913	3	NA	NA
3V	669690	267564	5,009	17	4,982	4	4,910	4	4,787	>2
4E	669265	266600	5,014	23	4,991	0	4,913	>4	NA	NA
4V	668980	267320	5,012	10	5,002	0	4,908	13	4,781	>4
5E	669403	265750	5,013	21	4,992	0	4,916	>4	NA	NA
5V	668885	266555	5,011	9	4,992	7	4,913	3	NA	NA
6V	669688	266352	5,017	10	4,986	7	4,926	4	4,793	>2
7V	669370	266113	5,009	15	4,987	7	4,925	10	4,786	>5
8V	669190	265723	5,012	21	4,991	0	4,914	37	4,786	>1
9V	669845	265754	5,014	20	4,994	0	4,913	20	4,786	>1
10V	669572	265022	5,013	10	4,993	9	4,916	14	4,789	>5
M11S	675132	274247	4,994	10	4,984	0	4,903	5	4,787	23
M12S	677145	280877	4,975	8	4,967	0	4,911	2	4,783	12
M13S	672953	276945	5,027	16	5,011	0	4,894	12	4,781	0
M14S	674610	266413	5,032	7	5,025	0	4,904	0	4,824	0
M15S	668207	271193	5,019	18	5,001	0	4,889	27	4,789	15
M16S	670185	271201	5,004	18	4,986	0	4,886	10	4,807	12
M17S	669364	267183	5,012	23	4,989	0	4,911	10	4,784	22
I-1S	669563	264936	5,013	8	5,005	0	4,913	11	NA	NA
I-1D	669563	265041	NA	NA	NA	NA	NA	NA	4,790	20
I-2S	669413	265632	5,014	18	4,996	0	4,911	11	NA	NA
I-2D	669427	265396	NA	NA	NA	NA	NA	NA	4,791	1
I-3S	669406	266280	5,012	16	4,985	2	4,914	4	NA	NA
I-3D	669405	266304	NA	NA	NA	NA	NA	NA	4,787	>11
I-4S	669462	266907	5,009	15	4,994	0	4,912	2	NA	NA
I-4D	669462	266932	NA	NA	NA	NA	NA	NA	4,787	>16
I-5S	669366	267132	5,012	32	4,980	0	4,913	>6	NA	NA
O-1	669140	264952	5,011	8	4,979	1	4,917	18	4,790	>15
O-2	668242	267356	5,014	5	5,009	0	4,907	18	4,771	7
O-3	670011	266496	5,010	8	4,975	9	4,919	12	4,789	>15
O-4	669607	264543	5,014	11	4,970	7	4,909	18	4,789	>19
O-5	669423	263931	5,021	2	4,976	6	4,916	23	4,789	26
O-6	668606	264939	5,013	10	4,982	6	4,905	14	4,789	>26
O-7	667762	264503	5,033	4	5,006	6	4,915	34	4,788	>4
O-8	668715	268351	5,010	8	5,002	0	4,910	0	4,777	>1
